topic,sentiment,keyword
Pemupukan,positive,nutrisi lengkap
Pemupukan,positive,peningkatan hasil
Pemupukan,positive,pestisida alami
Pemupukan,positive,memperbaiki struktur tanah
Pemupukan,positive,produktif
Pemupukan,positive,metode organik
Pemupukan,positive,lebih hijau
Pemupukan,positive,hasil panen melimpah
Pemupukan,positive,efek cepat
Pemupukan,positive,tidak menyebabkan stres
Pemupukan,positive,kualitas meningkat
Pemupukan,positive,unsur mikro cukup
Pemupukan,positive,cocok buat tanaman
Pemupukan,positive,keseimbangan nutrisi
Pemupukan,positive,penyerapan baik
Pemupukan,positive,akar kuat
Pemupukan,positive,tanah gembur
Pemupukan,positive,bebas racun
Pemupukan,negative,kurang pupuk
Pemupukan,negative,kuning
Pemupukan,negative,kering
Pemupukan,negative,overdosis
Pemupukan,negative,mati
Pemupukan,negative,layu
Pemupukan,negative,kelebihan nitrogen
Pemupukan,negative,keracunan nutrisi
Pemupukan,negative,garam berlebih
Pemupukan,negative,tanah rusak
Pemupukan,negative,pupuk mahal
Pemupukan,negative,tidak bereaksi
Pemupukan,negative,daun gosong
Pemupukan,negative,nutrisi tidak seimbang
Pemupukan,negative,tanaman stres
Pemupukan,negative,kualitas turun
Pemupukan,negative,pupuk palsu
Pemupukan,negative,penurunan pertumbuhan
Pemupukan,negative,tunas sedikit
Pemupukan,negative,akar membusuk
Pemupukan,negative,tanah keras
Pemupukan,negative,pupuk tidak larut
Pemupukan,negative,kandungan rendah
Pemupukan,negative,kekurangan unsur mikro
Pemupukan,negative,nutrisi kurang
Pemupukan,negative,buah kecil
Pemupukan,negative,buah pahit
Pemupukan,negative,penyerapan buruk
Pemupukan,negative,hama muncul
Pemupukan,negative,remah tanah hilang
Pemupukan,negative,residu pupuk
Pemupukan,negative,tidak efisien
Pemupukan,negative,pupuk kimia berbahaya
Pemupukan,negative,bau menyengat
Pemupukan,negative,kimia berlebih
Pemupukan,negative,pemborosan
Pemupukan,negative,penggunaan salah
Pemupukan,negative,dosis tidak tepat
Pemupukan,negative,pupuk terbakar
Pemupukan,negative,buang waktu
Pemupukan,negative,zonk
Pemupukan,negative,heran
Pemupukan,negative,percuma dicoba
Pemupukan,negative,cuma buang uang
Pemupukan,negative,emosi
Pemupukan,negative,kesal
Pemupukan,negative,mumet
Pemupukan,negative,capek
Pemupukan,negative,ribet
Pemupukan,negative,busuk akar
Pemupukan,negative,ketergantungan pupuk
Pemupukan,negative,tidak efektif
Pemupukan,negative,kerugian
Pemupukan,negative,tidak masuk logika
Pemupukan,negative,klaim palsu
Pemupukan,negative,terlalu dilebih-lebihkan
Pemupukan,negative,mencurigakan
Pemupukan,negative,meragukan
Pemupukan,negative,sulit dipercaya
Pemupukan,negative,tidak yakin
Pemupukan,negative,ini beneran
Pemupukan,negative,seriusan
Pemupukan,negative,yakin berhasil
Pemupukan,negative,masa sih
Pemupukan,negative,kalah efektif
Pemupukan,negative,ragu
Irigasi,positive,cukup air
Irigasi,positive,lancar
Irigasi,positive,terairi
Irigasi,positive,bagus
Irigasi,positive,optimal
Irigasi,positive,air stabil
Irigasi,positive,pengairan merata
Irigasi,positive,tanaman segar
Irigasi,positive,tanah lembab
Irigasi,positive,tidak kering
Irigasi,positive,efisien
Irigasi,positive,hemat air
Irigasi,positive,penyiraman tepat
Irigasi,positive,drainase baik
Irigasi,positive,tidak tergenang
Irigasi,positive,sangat membantu
Irigasi,positive,air bersih
Irigasi,positive,irigasi modern
Irigasi,positive,irigasi otomatis
Irigasi,positive,air lancar
Irigasi,positive,pertumbuhan bagus
Irigasi,positive,tidak kekeringan
Irigasi,positive,hasil meningkat
Irigasi,positive,akar sehat
Irigasi,positive,daya serap baik
Irigasi,positive,pengaturan air tepat
Irigasi,positive,penyerapan stabil
Irigasi,positive,tidak boros air
Irigasi,positive,ramah lingkungan
Irigasi,positive,tepat guna
Irigasi,positive,pipa lancar
Irigasi,positive,tidak bocor
Irigasi,positive,tetesan stabil
Irigasi,positive,membantu fotosintesis
Irigasi,positive,media lembab ideal
Irigasi,positive,efektif untuk tanaman
Irigasi,positive,tidak menyebabkan penyakit
Irigasi,positive,penyiraman merata
Irigasi,positive,sumber air aman
Irigasi,positive,cukup lembab
Irigasi,positive,tidak panas
Irigasi,positive,tidak stres
Irigasi,negative,ribet banget
Irigasi,negative,kekeringan
Irigasi,negative,bikin kapok
Irigasi,negative,kering
Irigasi,negative,banjir
Irigasi,negative,macet
Irigasi,negative,kurang air
Irigasi,negative,bermasalah
Irigasi,negative,saluran bocor
Irigasi,negative,air keruh
Irigasi,negative,air kotor
Irigasi,negative,kelebihan air
Irigasi,negative,tidak merata
Irigasi,negative,penyiraman salah
Irigasi,negative,overwatering
Irigasi,negative,underwatering
Irigasi,negative,tanah becek
Irigasi,negative,busuk akar
Irigasi,negative,pertumbuhan lambat
Irigasi,negative,cuma janji
Irigasi,negative,katanya berhasil
Irigasi,negative,stres tanaman
Irigasi,negative,layu
Irigasi,negative,daun menggulung
Irigasi,negative,panas berlebih
Irigasi,negative,irigasi rusak
Irigasi,negative,kualitas air buruk
Irigasi,negative,pipa mampet
Irigasi,negative,tidak bagus
Irigasi,negative,debit tidak stabil
Irigasi,negative,harga jatuh
Irigasi,negative,biaya mahal
Irigasi,negative,tidak efisien
Irigasi,negative,pemborosan air
Irigasi,negative,irigasi manual melelahkan
Irigasi,negative,drainase buruk
Irigasi,negative,tumpah
Irigasi,negative,irigasi gagal
Irigasi,negative,tidak kompatibel
Irigasi,negative,keterlambatan air
Irigasi,negative,alami kerusakan
Irigasi,negative,penyakit muncul
Irigasi,negative,jamur tumbuh
Irigasi,negative,air tercemar
Irigasi,negative,bikin rugi
Irigasi,negative,hindari
Irigasi,negative,pengalaman buruk
Irigasi,negative,saya tertipu
Irigasi,negative,saya rugi
Irigasi,negative,hasil mengecewakan
Irigasi,negative,bikin kecewa
Irigasi,negative,fatal
Irigasi,negative,asal ngomong
Irigasi,negative,cuma cari views
Irigasi,negative,pembohong
Irigasi,negative,penipu
Irigasi,negative,anjlok
Budidaya Organik,positive,media terlalu basah
Budidaya Organik,positive,organik bagus
Budidaya Organik,positive,alami
Budidaya Organik,positive,sehat
Budidaya Organik,positive,ramah lingkungan
Budidaya Organik,positive,berhasil
Budidaya Organik,positive,tanpa pestisida
Budidaya Organik,positive,lebih segar
Budidaya Organik,positive,aman konsumsi
Budidaya Organik,positive,panen melimpah
Budidaya Organik,positive,metode alami
Budidaya Organik,positive,kualitas tinggi
Budidaya Organik,positive,lebih higienis
Budidaya Organik,positive,lebih bernutrisi
Budidaya Organik,positive,daun hijau
Budidaya Organik,positive,tidak merusak tanah
Budidaya Organik,positive,ekonomis
Budidaya Organik,positive,sustainable
Budidaya Organik,positive,tanaman sehat
Budidaya Organik,positive,pertumbuhan alami
Budidaya Organik,positive,nutrisi alami
Budidaya Organik,positive,proses mudah
Budidaya Organik,positive,lebih lezat
Budidaya Organik,positive,efek positif
Budidaya Organik,positive,panen cepat
Budidaya Organik,positive,minim biaya
Budidaya Organik,positive,non-kimia
Budidaya Organik,positive,bebas racun
Budidaya Organik,positive,lebih aman
Budidaya Organik,positive,hasil bagus
Budidaya Organik,positive,tanah subur
Budidaya Organik,positive,carbon friendly
Budidaya Organik,positive,tanah hidup
Budidaya Organik,positive,lebih alami
Budidaya Organik,positive,lebih ramah bumi
Budidaya Organik,positive,kompos berkualitas
Budidaya Organik,negative,lebih efisien
Budidaya Organik,negative,gagal
Budidaya Organik,negative,hama
Budidaya Organik,negative,kurang nutrisi
Budidaya Organik,negative,merugikan
Budidaya Organik,negative,hancur
Budidaya Organik,negative,kapok
Budidaya Organik,negative,males lanjut
Budidaya Organik,negative,trauma
Budidaya Organik,negative,terlalu berisiko
Budidaya Organik,negative,nyesel
Budidaya Organik,negative,rusak total
Budidaya Organik,negative,lama
Budidaya Organik,negative,tidak efektif
Budidaya Organik,negative,panen sedikit
Budidaya Organik,negative,sulit
Budidaya Organik,negative,mahal
Budidaya Organik,negative,perawatan berat
Budidaya Organik,negative,hasil rendah
Budidaya Organik,negative,tidak stabil
Budidaya Organik,negative,pertumbuhan lambat
Budidaya Organik,negative,butuh waktu lama
Budidaya Organik,negative,pupuk kurang kuat
Budidaya Organik,negative,serangan jamur
Budidaya Organik,negative,kesulitan produksi
Budidaya Organik,negative,tenaga lebih banyak
Budidaya Organik,negative,tanah keras
Budidaya Organik,negative,nutrisi terbatas
Budidaya Organik,negative,biji buruk
Budidaya Organik,negative,tidak merata
Budidaya Organik,negative,cuaca buruk
Budidaya Organik,negative,hama kembali
Budidaya Organik,negative,sulit kontrol
Budidaya Organik,negative,tidak konsisten
Budidaya Organik,negative,busuk
Budidaya Organik,negative,gulma
Hidroponik,positive,lahan kecil
Hidroponik,positive,subur
Hidroponik,positive,bersih
Hidroponik,positive,efisien
Hidroponik,positive,tumbuh cepat
Hidroponik,positive,hasil baik
Hidroponik,positive,nutrisi terkontrol
Hidroponik,positive,hemat air
Hidroponik,positive,tanpa tanah
Hidroponik,positive,bebas gulma
Hidroponik,positive,cepat panen
Hidroponik,positive,lebih higienis
Hidroponik,positive,kualitas bagus
Hidroponik,positive,bebas pestisida
Hidroponik,positive,air bersih
Hidroponik,positive,media stabil
Hidroponik,positive,lebih rapi
Hidroponik,positive,lebih modern
Hidroponik,positive,efek cepat
Hidroponik,positive,tanaman besar
Hidroponik,positive,pertumbuhan cepat
Hidroponik,positive,setting mudah
Hidroponik,positive,tanaman segar
Hidroponik,positive,hemat lahan
Hidroponik,positive,nutrisi ideal
Hidroponik,positive,pH stabil
Hidroponik,positive,EC stabil
Hidroponik,positive,auto-watering
Hidroponik,positive,lebih akurat
Hidroponik,positive,panen cepat
Hidroponik,positive,kontrol penuh
Hidroponik,positive,lebih aman
Hidroponik,positive,lebih produktif
Hidroponik,positive,bebas hama tanah
Hidroponik,positive,air jernih
Hidroponik,negative,pertumbuhan stabil
Hidroponik,negative,keruh
Hidroponik,negative,alga
Hidroponik,negative,layu
Hidroponik,negative,kering
Hidroponik,negative,nutrisi kurang
Hidroponik,negative,busuk
Hidroponik,negative,bermasalah
Hidroponik,negative,pH naik
Hidroponik,negative,pH turun
Hidroponik,negative,EC tidak stabil
Hidroponik,negative,modal mahal
Hidroponik,negative,air bau
Hidroponik,negative,penyakit akar
Hidroponik,negative,kebocoran
Hidroponik,negative,air habis
Hidroponik,negative,pompa mati
Hidroponik,negative,media kurang bagus
Hidroponik,negative,tanaman stres
Hidroponik,negative,tumbuhan lambat
Hidroponik,negative,kesalahan nutrisi
Hidroponik,negative,overdosis nutrisi
Hidroponik,negative,air panas
Hidroponik,negative,lumut banyak
Hidroponik,negative,harga mahal
Hidroponik,negative,instalasi sulit
Hidroponik,negative,kerusakan pipa
Hidroponik,negative,jamur
Hidroponik,negative,akurasi rendah
Hidroponik,negative,level air rendah
Hidroponik,negative,tidak tumbuh optimal
Hidroponik,negative,perawatan ribet
Hidroponik,negative,tidak semudah itu
Hidroponik,negative,modal habis
Hidroponik,negative,tidak sebanding
Hidroponik,negative,tidak jelas
Hidroponik,negative,harga jatuh
Hidroponik,negative,menyesatkan
Hidroponik,negative,teori saja
Hidroponik,negative,omong kosong
Hidroponik,negative,sok pintar
Hidroponik,negative,sok ahli
Hidroponik,negative,drama
Hidroponik,negative,asal buat aturan
